id,thana,lat,lon,case_no,date,serial,total_amo,t56,lead_cartridge,rubber_cartridge,tear_gas_grenade,baton_rounds,lethal,non_lethal,shotgun_shell,area,area_lat,area_lon
1,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,1,39,0,0,0,39,0,0,39,0,Shahbagh,23.73435586,90.39142227
2,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,2,56,0,39,17,0,0,39,17,0,Shahbagh,23.73435586,90.39142227
3,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,3,37,0,0,0,37,0,0,37,0,Shahbagh,23.73435586,90.39142227
4,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,4,11,0,3,8,0,0,3,8,0,Shahbagh,23.73435586,90.39142227
5,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,5,6,0,3,3,0,0,3,3,0,Shahbagh,23.73435586,90.39142227
6,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,6,6,0,0,6,0,0,0,6,0,Shahbagh,23.73435586,90.39142227
7,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,7,6,0,1,5,0,0,1,5,0,Shahbagh,23.73435586,90.39142227
8,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,8,14,0,4,10,0,0,4,10,0,Shahbagh,23.73435586,90.39142227
9,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,9,8,0,3,5,0,0,3,5,0,Shahbagh,23.73435586,90.39142227
10,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,10,13,0,3,10,0,0,3,10,0,Shahbagh,23.73435586,90.39142227
11,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,11,1,1,0,0,0,0,1,0,0,Shahbagh,23.73435586,90.39142227
12,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,12,10,0,0,0,10,0,0,10,0,Shahbagh,23.73435586,90.39142227
13,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,13,5,0,0,0,5,0,0,5,0,Shahbagh,23.73435586,90.39142227
14,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,14,4,0,0,0,4,0,0,4,0,Shahbagh,23.73435586,90.39142227
15,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,15,4,4,0,0,0,0,4,0,0,Shahbagh,23.73435586,90.39142227
16,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,16,1,1,0,0,0,0,1,0,0,Shahbagh,23.73435586,90.39142227
17,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,17,2,2,0,0,0,0,2,0,0,Shahbagh,23.73435586,90.39142227
18,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,18,12,12,0,0,0,0,12,0,0,Shahbagh,23.73435586,90.39142227
19,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,19,6,6,0,0,0,0,6,0,0,Shahbagh,23.73435586,90.39142227
20,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,20,4,4,0,0,0,0,4,0,0,Shahbagh,23.73435586,90.39142227
21,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,21,3,3,0,0,0,0,3,0,0,Shahbagh,23.73435586,90.39142227
22,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,22,4,4,0,0,0,0,4,0,0,Shahbagh,23.73435586,90.39142227
23,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,23,4,4,0,0,0,0,4,0,0,Shahbagh,23.73435586,90.39142227
24,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,24,2,2,0,0,0,0,2,0,0,Shahbagh,23.73435586,90.39142227
25,Shahbagh,23.72736443,90.38943744,২৭/২৯৩,18/07/2024,25,60,0,0,0,60,0,0,60,0,Shahbagh,23.73435586,90.39142227
