district_bn,district_en,tariq_v,shafiq_v,tariq_c,shafiq_c
____,Dhaka,1,1,1,1
_______,Faridpur,1,1,0,0
_______,Gazipur,1,1,0,1
_________,Gopalganj,0,1,0,0
_________,Kishoreganj,1,1,0,0
_________,Madaripur,0,0,0,0
_________,Manikganj,0,0,0,0
__________,Munshiganj,0,0,0,0
___________,Narayanganj,1,0,0,0
_______,Narsingdi,1,0,0,0
________,Rajbari,0,0,0,0
_________,Shariatpur,0,0,0,0
________,Tangail,1,1,1,1
_________,Chattogram,1,1,1,1
_________,Bandarban,0,0,0,0
________________,Brahmanbaria,1,0,0,0
_______,Chandpur,0,0,0,0
_________,Cox's Bazar,0,1,0,0
________,Cumilla,1,1,0,1
____,Feni,1,1,1,0
__________,Khagrachhari,0,0,0,0
__________,Lakshmipur,0,1,0,0
_________,Noakhali,0,1,0,0
__________,Rangamati,0,0,0,0
______,Barishal,1,1,1,1
______,Barguna,0,0,0,0
____,Bhola,0,0,0,0
_______,Jhalokati,0,1,0,0
__________,Patuakhali,0,1,0,0
________,Pirojpur,0,1,0,0
_____,Khulna,1,1,1,1
________,Bagerhat,0,1,0,0
___________,Chuadanga,0,1,0,0
____,Jashore,1,1,0,0
_______,Jhenaidah,0,1,0,0
_________,Kushtia,0,1,0,0
______,Magura,0,0,0,0
________,Meherpur,0,1,0,0
______,Narail,0,1,0,0
_________,Satkhira,0,1,0,0
_______,Rajshahi,1,1,1,1
______,Bogura,1,1,0,0
_________,Joypurhat,0,0,0,0
_____,Naogaon,1,1,0,0
_____,Natore,0,0,0,0
______________,Chapainawabganj,0,0,0,0
_____,Pabna,0,1,0,0
_________,Sirajganj,1,1,0,0
_____,Sylhet,1,1,1,1
_______,Habiganj,1,1,0,0
__________,Moulvibazar,1,1,0,0
_________,Sunamganj,0,0,0,0
_____,Rangpur,1,1,1,1
________,Dinajpur,1,1,0,0
_________,Gaibandha,0,1,0,0
__________,Kurigram,0,1,0,0
__________,Lalmonirhat,0,1,0,0
_________,Nilphamari,1,1,0,0
_______,Panchagarh,0,1,0,0
_________,Thakurgaon,1,1,0,0
_________,Mymensingh,1,1,1,1
________,Jamalpur,0,1,0,0
_________,Netrokona,0,0,0,0
______,Sherpur,0,1,0,0
